Emotion_value,Text_data
sadness,dunnno feel sorta discontent im tired stuff wan na go bed
joy,really enjoy tone feeling piece wonder whether would successful stretched days rather one
fear,feeling suspicious day
sadness,get see master weekends feel submissive weekends
sadness,feel dismayed still loads miniature terms weird pink clay left didnt know
fear,feeling shaky day
fear,feeling nervous hands felt shaky heart pounding
sadness,bad person feeling burdened relationship
joy,talked tried ask feeling convinced everyone would asking things probably bit sick always talking
anger,alcoholic stood dribbling food counter
sadness,still feelings broke
sadness,feel imperfection shamed coerced mocked
sadness,finally realise feeling hated effects big
fear,know feel little apprehensive offering gold jewelry minimal cash gon na share found regards process selling gold jewellery revenue
sadness,im feeling disillusioned buying cheap mass produced clothes
sadness,feel terrible sexist whenever im group women start talking dieting brain automatically drops
joy,feel thankful found fantastic series added favorite series time
sadness,know suicide selfish right feel like worthless long run would better everybody else
joy,feel warmly welcomed floor
joy,feel core song melody respected well lyrics rest changed
sadness,feel defeated feeling moves start hearing whisperings hope
joy,ungrateful selfish wanting life wanting something least feeling valued respected
sadness,feeling nick broke
anger,diss bag feeling grouchy lack inspiration whatsoever comes fug bags today grouchy still sets means big deal
anger,feeling dragon back reason became also protect demons despised harmed humans
joy,feel like would pretty cool
joy,wonder feel like sometimes joy longer joyful based research methods keynotes comparisons appearances
joy,feel honored humbled turn events
anger,hypocrisy friends
fear,start feel unsure
sadness,look feeling alone wantig way
sadness,still feel dull ache time even running
joy,im feeling pretty good bus stop start yawning
sadness,feeling lousy right
sadness,really feel guilty
joy,feel assured thankk god
fear,feel helpless depending people closest
sadness,days weeks feel little deprived
anger,feel angry feel sad
joy,believe manged tone retaining enough flourish make suit feel special
anger,feel fucked happened thursday
joy,feel fearless right
anger,feel dissatisfied advances made rather team stinks
anger,feel even dangerous though youre pouring time ministry accompanied self righteousness self satisfaction
fear,began feel agitated slightly dizzy amp hungry
joy,think fact leaving jordan hospital feeling triumphant completion last radiation horror story unfolding two states away
fear,feel like idiot looking bunch keys getting frantic nick letting forgetting keys
anger,voice usual perfect like know yomis voice better kind feel frustrated song best doesnt highlight yomis voice properly
anger,forgive accepted allowed feel tortured headache
joy,really feel like trying cute every day
joy,really hard time feeling hopeful much last months
sadness,feel like ungrateful ass
sadness,feel discouraged im never going get good schedule another big life change going happen
sadness,want feel disrespected unloved
joy,feel passionate people particularly love admire respect
anger,usually feel aggravated unprofessional attitude rest cast
sadness,always feel boosted spiritually totally drained physically
anger,feel offended statement
sadness,feel alone part everyone opinion going going sometimes feel challenge people upset
joy,im feeling awfully proud sticking
anger,found working detroit specialized christian literature lol im feeling little grouchy tonight
joy,im pretty sure everyone left feeling festive
fear,feel vulnerable much yesterday cant say felt strong sense self worth maybe according brown could get better accepting vulnerable imperfect aspects
joy,feel charming today dont really want part im supposed part tonight
fear,get feeling oilers hesitant count missed much time year ago
joy,wondered make feel cool
sadness,feel blamed music
joy,still feel honored friend would ask join part journey
joy,feel convinced brink something amazing
joy,feel really pretty makeup haha
sadness,see feel helpless
sadness,feel miserable even alone
